score_pct,time_taken_sec,easy_correct,medium_correct,hard_correct,attempt_number,label
92.97,729,1,0,2,4,Intermediate
80.81,383,1,3,3,2,Advanced
63.34,205,3,3,1,3,Intermediate
87.15,352,1,4,3,4,Advanced
80.37,724,3,0,2,3,Intermediate
18.66,491,1,2,3,4,Beginner
89.26,764,0,3,2,5,Advanced
53.93,644,1,0,2,2,Intermediate
80.74,458,0,3,1,1,Intermediate
89.61,876,0,2,0,4,Intermediate
31.8,403,1,3,2,4,Beginner
11.01,199,0,4,2,3,Beginner
22.79,246,3,4,1,5,Beginner
42.71,864,2,3,2,3,Beginner
81.8,120,1,0,0,3,Intermediate
86.07,439,0,0,1,5,Intermediate
0.7,769,1,0,0,1,Beginner
51.07,866,3,3,0,3,Beginner
41.74,499,1,0,1,3,Beginner
22.21,378,1,2,2,4,Beginner
11.99,361,0,4,0,5,Beginner
33.76,403,3,2,0,2,Beginner
94.29,70,2,0,0,1,Intermediate
32.32,121,2,2,0,1,Beginner
51.88,285,0,0,1,5,Beginner
70.3,212,1,3,1,4,Intermediate
36.36,770,0,2,3,4,Beginner
97.18,623,0,3,3,5,Advanced
96.24,831,0,3,0,4,Intermediate
25.18,630,1,1,2,1,Beginner
49.72,643,3,0,0,1,Beginner
30.09,719,0,4,2,2,Beginner
28.48,634,1,0,0,5,Beginner
3.69,369,3,4,3,3,Beginner
60.96,302,0,0,3,3,Intermediate
50.27,552,2,3,2,2,Intermediate
5.15,425,3,2,0,2,Beginner
27.86,389,0,2,2,4,Beginner
90.83,166,3,1,3,2,Intermediate
23.96,285,3,4,0,2,Beginner
14.49,884,3,4,0,3,Beginner
48.95,277,3,4,2,4,Intermediate
98.57,812,3,3,1,2,Intermediate
24.21,565,3,4,2,2,Beginner
67.21,318,0,2,3,4,Intermediate
76.16,833,2,3,3,5,Intermediate
23.76,576,1,0,3,4,Beginner
72.82,832,3,4,3,3,Intermediate
36.78,113,1,4,3,5,Beginner
63.23,106,0,0,1,1,Intermediate
63.35,786,3,4,0,4,Intermediate
53.58,748,2,0,2,3,Intermediate
9.03,580,1,3,2,5,Beginner
83.53,158,3,2,3,4,Intermediate
32.08,79,0,0,2,2,Beginner
18.65,812,2,1,3,4,Beginner
4.08,632,1,0,1,1,Beginner
59.09,549,1,4,1,4,Beginner
67.76,478,3,3,0,5,Intermediate
1.66,749,2,3,1,5,Beginner
51.21,121,2,0,1,4,Beginner
22.65,204,2,2,0,5,Beginner
64.52,275,2,1,2,2,Intermediate
17.44,62,0,3,3,4,Beginner
69.09,219,2,4,3,2,Intermediate
38.67,798,1,4,2,2,Beginner
93.67,840,1,2,0,3,Intermediate
13.75,179,0,3,2,4,Beginner
34.11,148,1,0,1,5,Beginner
11.35,388,1,4,0,2,Beginner
92.47,639,2,2,0,3,Intermediate
87.73,416,1,3,0,4,Intermediate
25.79,669,0,3,3,4,Beginner
66.0,326,2,3,2,1,Intermediate
81.72,676,3,3,0,1,Intermediate
55.52,382,2,3,0,2,Beginner
52.97,694,0,4,0,1,Beginner
24.19,600,2,2,2,2,Beginner
9.31,708,2,3,3,5,Beginner
89.72,254,0,1,1,2,Intermediate
90.04,797,2,1,3,1,Intermediate
63.31,391,0,2,0,5,Intermediate
33.9,229,0,0,3,1,Beginner
34.92,580,3,0,3,2,Beginner
72.6,522,1,0,1,3,Intermediate
89.71,99,1,1,2,4,Intermediate
88.71,596,2,0,2,1,Intermediate
77.99,320,2,4,3,2,Intermediate
64.2,454,3,3,3,5,Intermediate
8.41,285,3,1,2,1,Beginner
16.16,183,3,2,2,1,Beginner
89.86,97,0,2,1,4,Intermediate
60.64,387,3,3,0,2,Intermediate
0.92,310,3,1,3,3,Beginner
10.15,235,2,0,2,5,Beginner
66.35,661,3,0,3,2,Intermediate
0.51,513,0,4,3,5,Beginner
16.08,96,0,4,2,1,Beginner
54.87,375,2,0,1,4,Beginner
69.19,747,3,2,3,4,Intermediate
65.2,855,3,2,1,3,Intermediate
22.43,652,0,4,2,4,Beginner
71.22,173,3,3,0,1,Intermediate
23.72,99,3,0,0,3,Beginner
32.54,360,3,4,3,2,Beginner
74.65,283,1,4,2,4,Intermediate
64.96,377,2,0,1,3,Intermediate
84.92,408,1,0,3,1,Intermediate
65.76,174,2,2,2,5,Intermediate
56.83,757,0,3,2,5,Intermediate
9.37,382,3,3,1,1,Beginner
36.77,627,2,0,3,1,Beginner
26.52,99,1,1,2,5,Beginner
24.4,99,3,4,2,3,Beginner
97.3,808,0,4,2,5,Advanced
39.31,348,2,0,1,1,Beginner
89.2,321,2,1,3,4,Intermediate
63.11,275,2,2,3,2,Intermediate
79.48,206,3,0,3,4,Intermediate
50.26,395,1,0,3,4,Intermediate
57.69,227,1,4,0,1,Beginner
49.25,151,2,0,0,5,Beginner
19.52,412,0,0,3,3,Beginner
72.25,630,0,0,1,4,Intermediate
28.08,630,1,4,0,5,Beginner
2.43,875,0,2,2,3,Beginner
64.55,740,1,2,0,4,Intermediate
17.71,840,2,0,2,3,Beginner
94.05,422,1,4,3,5,Advanced
95.39,616,1,2,0,2,Intermediate
91.49,404,2,2,1,5,Intermediate
37.02,752,0,2,0,1,Beginner
1.55,229,1,4,0,3,Beginner
92.83,415,1,4,0,2,Intermediate
42.82,250,2,0,3,3,Beginner
96.67,726,0,3,1,3,Intermediate
96.36,481,1,2,0,4,Intermediate
85.3,759,2,3,1,1,Intermediate
29.44,66,1,4,3,3,Beginner
38.51,192,3,4,2,5,Beginner
85.11,806,2,4,0,5,Intermediate
31.69,616,0,3,1,4,Beginner
16.95,885,0,4,1,1,Beginner
55.68,820,0,0,3,1,Intermediate
93.62,90,0,4,0,5,Intermediate
69.6,594,1,1,2,2,Intermediate
57.01,485,1,3,1,4,Beginner
9.72,453,0,1,0,4,Beginner
61.5,731,0,4,2,5,Intermediate
99.01,422,0,0,1,5,Intermediate
14.01,496,1,2,1,2,Beginner
51.83,729,0,4,2,2,Intermediate
87.74,610,0,0,2,1,Intermediate
74.08,141,3,3,3,4,Intermediate
69.7,415,3,1,0,4,Intermediate
70.25,317,0,1,0,5,Intermediate
35.95,777,2,1,3,1,Beginner
29.36,648,0,3,1,4,Beginner
80.94,583,3,0,2,1,Intermediate
81.01,354,2,3,2,1,Advanced
86.71,283,2,1,2,5,Intermediate
91.32,584,0,4,1,1,Intermediate
51.13,105,3,2,2,2,Intermediate
50.15,726,3,3,2,2,Intermediate
79.83,172,2,3,3,3,Intermediate
65.0,292,0,0,1,5,Intermediate
70.2,76,1,0,0,3,Intermediate
79.58,419,1,3,3,2,Intermediate
89.0,282,3,1,3,3,Intermediate
33.8,759,1,2,0,5,Beginner
37.56,507,3,0,3,5,Beginner
9.4,424,3,1,1,1,Beginner
57.83,734,3,4,2,4,Intermediate
3.59,385,1,0,1,1,Beginner
46.56,526,3,1,0,5,Beginner
54.26,473,2,1,0,2,Beginner
28.65,514,0,2,3,2,Beginner
59.08,645,0,2,1,1,Beginner
3.05,292,3,4,1,5,Beginner
3.73,283,0,1,0,2,Beginner
82.26,890,1,1,1,5,Intermediate
36.02,471,1,2,0,2,Beginner
12.71,631,0,0,1,5,Beginner
52.22,394,1,0,1,3,Beginner
77.0,281,0,3,1,5,Intermediate
21.58,96,0,2,0,5,Beginner
62.29,337,0,3,3,1,Intermediate
8.53,255,3,2,1,3,Beginner
5.17,543,0,4,0,4,Beginner
53.14,301,3,1,0,1,Beginner
54.06,383,0,4,1,4,Beginner
63.74,790,0,2,1,2,Intermediate
72.61,251,0,1,3,4,Intermediate
97.59,76,1,0,0,5,Intermediate
51.63,583,3,0,0,4,Beginner
32.3,460,3,3,2,1,Beginner
79.52,764,0,2,0,1,Intermediate
27.08,81,0,2,3,4,Beginner
43.9,533,1,0,2,1,Beginner
7.85,179,1,4,2,1,Beginner
2.54,269,1,1,2,4,Beginner
96.26,365,3,4,1,3,Intermediate
83.6,329,3,4,1,3,Intermediate
69.6,763,3,0,0,2,Intermediate
40.9,746,0,0,2,1,Beginner
17.33,344,3,0,3,4,Beginner
15.64,775,2,3,1,1,Beginner
25.02,735,2,4,3,5,Beginner
54.92,822,1,2,3,1,Intermediate
71.46,286,3,1,1,1,Intermediate
66.02,440,2,3,1,3,Intermediate
27.99,519,1,2,1,4,Beginner
95.49,66,3,4,1,1,Intermediate
73.79,88,0,0,2,3,Intermediate
55.44,92,2,4,2,2,Intermediate
61.17,705,0,1,2,3,Intermediate
41.96,138,3,3,2,3,Beginner
24.77,518,2,3,0,3,Beginner
35.6,629,3,1,2,1,Beginner
75.78,597,0,2,1,1,Intermediate
1.44,541,2,2,3,2,Beginner
11.61,489,0,3,2,5,Beginner
4.6,797,3,3,0,5,Beginner
4.07,344,3,0,1,5,Beginner
85.55,575,0,2,3,2,Intermediate
70.37,158,2,1,3,5,Intermediate
47.42,456,0,2,2,5,Intermediate
9.78,548,3,0,3,3,Beginner
49.16,98,0,3,2,1,Intermediate
47.35,330,3,3,2,1,Intermediate
17.32,856,0,0,1,3,Beginner
43.39,216,2,1,1,3,Beginner
39.85,134,2,3,0,3,Beginner
61.59,859,0,4,1,1,Intermediate
63.51,189,0,3,1,5,Intermediate
4.53,746,2,4,2,3,Beginner
37.46,143,3,0,1,2,Beginner
62.59,81,2,0,2,3,Intermediate
50.31,518,3,3,2,4,Intermediate
85.65,598,0,2,1,3,Intermediate
65.87,766,0,4,0,1,Intermediate
16.29,441,3,1,0,3,Beginner
7.06,807,0,3,3,4,Beginner
64.24,499,3,1,3,2,Intermediate
2.65,663,1,3,1,5,Beginner
58.58,80,2,2,0,3,Beginner
94.02,362,1,2,2,4,Intermediate
57.55,143,3,2,3,4,Intermediate
38.82,833,2,2,2,2,Beginner
64.33,718,3,0,3,1,Intermediate
45.83,512,2,0,1,3,Beginner
54.56,446,2,4,0,4,Beginner
94.15,566,2,1,3,2,Intermediate
38.61,316,2,3,0,5,Beginner
96.12,629,3,3,2,4,Advanced
90.54,586,2,0,1,2,Intermediate
19.58,221,2,3,0,1,Beginner
6.94,222,1,0,1,1,Beginner
10.08,891,0,4,0,4,Beginner
1.82,852,0,1,2,4,Beginner
9.44,851,1,4,2,3,Beginner
68.3,583,1,2,1,2,Intermediate
7.12,845,3,2,2,4,Beginner
31.9,330,3,2,3,3,Beginner
84.49,551,3,4,0,3,Intermediate
2.33,267,1,3,2,4,Beginner
81.45,598,1,1,3,1,Intermediate
28.19,643,2,2,1,2,Beginner
11.82,119,3,2,3,2,Beginner
69.67,489,3,2,1,1,Intermediate
62.89,716,3,1,1,4,Intermediate
87.75,664,0,2,0,2,Intermediate
73.51,368,2,1,0,4,Intermediate
80.35,579,3,2,3,4,Intermediate
28.2,650,3,4,0,3,Beginner
17.74,86,3,4,0,1,Beginner
75.06,745,0,1,0,4,Intermediate
80.68,621,0,4,3,5,Advanced
99.05,258,1,1,2,1,Intermediate
41.26,446,2,4,0,2,Beginner
37.2,408,1,4,0,3,Beginner
77.64,752,2,1,3,2,Intermediate
34.08,595,0,3,2,2,Beginner
93.08,887,3,4,0,1,Intermediate
85.84,437,1,2,1,2,Intermediate
42.9,617,3,3,3,4,Beginner
75.09,586,1,1,0,2,Intermediate
75.45,212,0,3,0,3,Intermediate
10.31,793,0,0,1,3,Beginner
90.26,265,0,0,1,5,Intermediate
50.53,514,1,4,3,3,Intermediate
82.65,332,2,4,3,2,Advanced
32.0,295,1,2,1,3,Beginner
89.55,799,2,3,3,1,Advanced
38.92,580,1,0,1,3,Beginner
1.08,737,1,4,0,4,Beginner
90.54,890,0,3,1,1,Intermediate
9.13,785,3,4,1,5,Beginner
31.93,560,3,4,2,4,Beginner
95.01,176,2,0,1,2,Intermediate
95.06,445,3,0,1,2,Intermediate
57.34,403,1,4,2,2,Intermediate
63.18,643,1,1,3,4,Intermediate
44.84,454,0,4,2,4,Beginner
29.32,123,0,4,0,4,Beginner
32.87,776,3,2,2,1,Beginner
67.25,780,2,2,0,1,Intermediate
75.24,131,3,2,3,2,Intermediate
79.16,848,3,1,2,3,Intermediate
78.96,333,3,1,2,2,Intermediate
9.12,379,3,4,3,5,Beginner
49.44,397,1,2,0,1,Beginner
5.76,425,2,1,2,4,Beginner
54.95,554,1,0,0,1,Beginner
44.15,666,2,4,2,4,Beginner
88.77,225,0,3,1,5,Intermediate
35.09,603,3,4,2,5,Beginner
11.71,70,1,3,3,1,Beginner
14.3,360,2,2,3,4,Beginner
76.15,788,0,3,0,5,Intermediate
61.82,860,0,2,2,2,Intermediate
10.11,161,3,0,0,2,Beginner
8.41,484,2,3,0,4,Beginner
70.1,451,1,4,1,1,Intermediate
7.28,838,3,2,1,5,Beginner
82.19,273,1,4,3,1,Advanced
70.62,750,0,1,0,2,Intermediate
8.13,147,1,2,3,5,Beginner
8.48,612,1,3,2,1,Beginner
98.66,460,3,2,0,3,Intermediate
37.43,647,1,4,0,4,Beginner
37.06,105,3,0,2,4,Beginner
81.28,731,0,2,2,3,Intermediate
94.72,522,3,3,3,2,Advanced
98.6,651,3,1,3,5,Intermediate
75.34,369,2,0,2,4,Intermediate
37.63,145,1,1,3,3,Beginner
8.35,151,0,2,2,3,Beginner
77.71,719,3,4,0,2,Intermediate
55.84,732,0,4,0,2,Beginner
42.42,773,2,3,1,1,Beginner
90.64,301,1,4,0,4,Intermediate
11.12,61,3,0,2,1,Beginner
49.26,284,1,4,3,3,Intermediate
1.14,860,2,3,1,5,Beginner
46.87,804,2,2,3,5,Intermediate
5.63,648,0,2,2,2,Beginner
11.88,175,3,4,0,5,Beginner
11.75,725,0,1,1,5,Beginner
64.92,162,2,2,2,5,Intermediate
74.6,253,1,4,1,3,Intermediate
58.34,225,0,3,1,5,Beginner
96.22,149,0,4,0,5,Intermediate
37.49,745,1,2,2,5,Beginner
28.57,181,0,3,3,1,Beginner
86.86,202,1,4,1,3,Intermediate
22.36,165,3,0,1,2,Beginner
96.32,487,1,3,3,1,Advanced
1.22,364,3,0,2,4,Beginner
96.99,376,1,1,1,3,Intermediate
4.32,694,2,3,1,3,Beginner
89.11,68,2,0,1,4,Intermediate
52.77,833,3,2,2,4,Intermediate
99.3,132,3,2,2,4,Intermediate
7.38,418,2,1,3,2,Beginner
55.39,282,3,3,2,5,Intermediate
96.93,475,1,3,2,3,Advanced
52.31,612,1,3,0,5,Beginner
62.94,429,2,1,3,5,Intermediate
69.57,775,0,3,1,4,Intermediate
45.45,323,1,2,2,2,Intermediate
62.76,899,3,0,1,1,Intermediate
58.43,749,0,2,1,2,Beginner
90.12,377,0,2,0,5,Intermediate
4.54,143,1,0,2,2,Beginner
28.1,377,1,2,3,4,Beginner
95.04,170,0,1,2,1,Intermediate
89.03,310,0,0,1,4,Intermediate
45.57,442,2,2,3,1,Intermediate
62.01,66,3,4,2,5,Intermediate
27.74,518,2,2,1,1,Beginner
18.81,143,1,1,1,1,Beginner
46.37,267,2,3,0,1,Beginner
35.34,449,2,2,0,2,Beginner
58.37,373,2,3,0,2,Beginner
7.77,81,2,4,1,5,Beginner
97.44,469,3,2,2,1,Intermediate
98.62,574,3,0,0,3,Intermediate
69.82,186,0,3,2,5,Intermediate
53.61,868,1,4,0,1,Beginner
30.95,759,2,0,3,1,Beginner
81.38,73,0,0,3,2,Intermediate
68.47,71,0,0,0,5,Intermediate
16.26,146,0,0,1,1,Beginner
91.09,583,3,2,0,1,Intermediate
82.25,596,2,2,0,5,Intermediate
94.98,360,2,2,1,3,Intermediate
72.57,302,1,4,3,5,Intermediate
61.34,181,2,4,2,5,Intermediate
41.82,206,2,4,0,3,Beginner
93.27,626,0,1,1,5,Intermediate
86.61,809,1,4,0,1,Intermediate
4.52,415,2,2,1,5,Beginner
2.64,744,3,2,2,3,Beginner
37.65,792,2,1,2,4,Beginner
81.06,690,0,1,3,5,Intermediate
98.73,368,3,4,1,2,Intermediate
15.04,754,0,3,1,1,Beginner
59.41,347,2,1,3,1,Intermediate
38.09,366,3,0,3,2,Beginner
96.99,871,1,2,1,2,Intermediate
84.21,653,1,0,3,5,Intermediate
83.83,782,3,2,2,2,Intermediate
46.87,721,3,2,0,4,Beginner
41.48,608,0,1,2,3,Beginner
27.34,411,3,1,3,2,Beginner
5.64,371,0,0,1,2,Beginner
86.47,118,2,2,1,4,Intermediate
81.29,702,0,0,2,1,Intermediate
99.97,773,3,3,1,1,Intermediate
99.66,814,3,0,3,5,Intermediate
55.54,94,2,4,2,4,Intermediate
76.9,504,3,0,1,3,Intermediate
94.48,152,3,4,0,3,Intermediate
84.96,266,1,4,0,4,Intermediate
24.73,412,1,4,3,3,Beginner
45.05,391,2,3,1,1,Beginner
12.92,876,0,0,3,3,Beginner
95.41,784,1,0,2,3,Intermediate
60.62,218,0,3,0,4,Intermediate
22.86,83,3,2,2,4,Beginner
67.17,463,1,1,1,3,Intermediate
61.81,864,2,0,3,2,Intermediate
35.82,575,2,1,3,4,Beginner
11.36,791,2,3,3,5,Beginner
67.16,423,1,2,2,5,Intermediate
52.03,441,0,2,0,1,Beginner
77.23,591,3,2,2,3,Intermediate
52.02,211,0,3,2,2,Intermediate
85.22,621,0,4,1,1,Intermediate
55.19,748,3,4,1,3,Beginner
56.09,667,3,1,1,4,Beginner
87.67,676,1,4,0,5,Intermediate
40.35,479,1,4,0,2,Beginner
13.4,309,1,2,1,5,Beginner
2.88,176,1,2,1,4,Beginner
75.51,571,1,1,0,3,Intermediate
62.03,799,3,0,3,4,Intermediate
70.41,637,0,1,0,4,Intermediate
21.3,394,1,1,0,5,Beginner
13.64,477,1,3,0,2,Beginner
1.45,833,0,3,1,4,Beginner
35.06,354,1,1,3,5,Beginner
58.99,814,0,1,0,2,Beginner
39.22,430,0,1,1,3,Beginner
43.75,245,3,4,2,3,Beginner
90.42,305,2,3,2,1,Advanced
34.83,696,3,1,0,5,Beginner
51.4,327,2,2,2,2,Intermediate
78.37,702,2,2,3,4,Intermediate
39.65,296,2,4,2,3,Beginner
62.21,589,1,4,2,2,Intermediate
86.24,611,3,0,3,5,Intermediate
94.95,80,2,0,0,1,Intermediate
14.71,796,0,0,0,3,Beginner
92.66,853,1,4,3,2,Advanced
49.21,579,3,4,3,2,Intermediate
25.82,159,2,4,3,2,Beginner
45.91,811,0,2,2,5,Intermediate
98.0,537,3,4,3,5,Advanced
49.26,658,3,2,1,5,Beginner
32.88,357,1,0,2,4,Beginner
63.34,585,3,0,0,2,Intermediate
24.01,393,1,0,0,3,Beginner
7.59,61,2,1,0,5,Beginner
12.89,434,1,1,2,5,Beginner
12.8,352,0,3,1,2,Beginner
15.19,896,1,3,3,5,Beginner
13.88,612,0,3,3,4,Beginner
64.09,377,1,1,0,4,Intermediate
18.19,561,3,1,0,5,Beginner
34.57,887,2,3,2,2,Beginner
89.68,440,0,3,1,2,Intermediate
47.4,682,1,4,3,2,Intermediate
66.76,73,1,3,2,1,Intermediate
17.23,563,1,4,3,5,Beginner
19.23,290,3,2,0,2,Beginner
4.09,143,3,1,3,4,Beginner
16.89,189,0,3,1,3,Beginner
27.86,802,0,1,1,3,Beginner
17.7,897,3,1,0,2,Beginner
8.87,204,0,1,1,3,Beginner
12.06,87,2,2,1,3,Beginner
46.08,125,2,0,2,1,Intermediate
20.63,222,3,3,3,4,Beginner
36.43,288,0,0,0,4,Beginner
50.34,320,1,0,0,1,Beginner
69.04,508,2,0,0,1,Intermediate
3.93,483,3,1,0,3,Beginner
79.94,519,0,4,0,5,Intermediate
62.79,735,3,1,1,3,Intermediate
8.18,360,1,1,2,1,Beginner
87.36,362,2,0,0,4,Intermediate
92.09,346,3,1,2,3,Intermediate
6.11,454,3,0,2,5,Beginner
27.69,69,3,4,1,3,Beginner
80.62,766,1,3,0,2,Intermediate
74.83,689,3,0,1,3,Intermediate
18.45,329,1,4,0,1,Beginner
20.93,651,1,3,1,4,Beginner
37.05,664,1,2,2,4,Beginner
48.45,837,2,0,0,1,Beginner
61.83,420,2,0,3,2,Intermediate
36.89,316,3,2,2,1,Beginner
46.25,192,3,2,3,3,Intermediate
74.75,335,2,0,2,1,Intermediate
3.67,835,0,2,1,1,Beginner
25.24,742,2,1,0,2,Beginner
71.33,572,1,3,2,3,Intermediate
89.52,372,2,3,1,5,Intermediate
51.17,635,1,3,0,5,Beginner
53.21,343,3,1,0,4,Beginner
10.72,180,0,2,2,1,Beginner
44.74,166,3,4,0,4,Beginner
53.26,746,1,2,2,2,Intermediate
24.25,263,1,0,0,5,Beginner
26.92,224,1,3,3,1,Beginner
37.73,364,0,2,1,2,Beginner
2.01,556,2,4,3,2,Beginner
32.21,691,3,0,2,1,Beginner
21.14,615,3,1,3,2,Beginner
32.75,883,2,1,2,1,Beginner
11.98,215,3,4,0,1,Beginner
89.05,426,0,0,0,3,Intermediate
59.36,778,3,3,2,4,Intermediate
67.91,679,1,2,3,2,Intermediate
78.92,310,2,0,0,2,Intermediate
49.84,393,0,1,1,3,Beginner
8.69,701,2,4,0,3,Beginner
53.71,570,0,4,1,3,Beginner
58.68,352,1,2,3,5,Intermediate
74.54,79,2,4,1,5,Intermediate
43.17,341,3,4,1,5,Beginner
12.76,856,0,0,1,1,Beginner
28.38,60,2,3,1,2,Beginner
36.31,178,3,2,0,4,Beginner
64.59,94,2,0,1,1,Intermediate
57.08,257,2,3,0,2,Beginner
35.61,544,2,0,1,2,Beginner
98.65,816,0,0,2,3,Intermediate
60.58,118,3,4,3,3,Intermediate
23.72,896,1,3,1,1,Beginner
10.18,220,0,2,2,3,Beginner
15.29,750,0,2,1,2,Beginner
24.6,265,0,3,1,3,Beginner
16.07,71,1,4,1,5,Beginner
18.66,549,3,1,2,3,Beginner
28.51,335,3,0,3,2,Beginner
17.34,752,3,4,2,1,Beginner
89.68,301,2,3,3,4,Advanced
8.02,275,2,0,1,3,Beginner
52.45,310,2,2,0,2,Beginner
41.04,870,1,1,1,4,Beginner
98.24,185,2,2,3,4,Intermediate
11.2,276,1,3,2,5,Beginner
39.79,365,3,0,1,4,Beginner
96.95,856,2,3,2,2,Advanced
86.55,244,2,0,2,2,Intermediate
81.71,98,0,4,2,3,Advanced
25.79,282,1,1,1,3,Beginner
17.09,243,3,4,2,3,Beginner
66.86,554,0,4,2,4,Intermediate
92.94,486,0,3,1,4,Intermediate
55.68,237,3,1,2,5,Intermediate
57.16,487,0,0,1,3,Beginner
28.0,353,1,0,3,1,Beginner
76.95,210,1,2,3,5,Intermediate
18.7,443,2,0,3,1,Beginner
32.37,697,0,3,2,4,Beginner
42.54,872,2,4,0,5,Beginner
50.76,367,0,4,0,5,Beginner
24.24,395,1,4,2,2,Beginner
11.48,805,1,1,0,4,Beginner
61.06,434,1,0,1,4,Intermediate
28.86,67,0,3,0,5,Beginner
58.12,400,1,1,2,4,Intermediate
15.44,188,0,2,2,5,Beginner
48.11,835,2,3,1,2,Beginner
53.26,728,0,3,3,5,Intermediate
5.18,411,2,3,2,4,Beginner
33.66,417,0,4,1,4,Beginner
13.44,576,2,3,0,5,Beginner
6.34,554,1,0,0,5,Beginner
99.0,145,2,3,1,5,Intermediate
32.24,234,1,4,1,3,Beginner
80.99,861,1,3,2,4,Advanced
25.46,252,2,2,0,4,Beginner
68.15,370,0,2,1,3,Intermediate
76.02,178,0,4,0,5,Intermediate
59.56,277,3,0,1,2,Beginner
47.16,486,0,0,0,5,Beginner
41.18,473,3,1,3,5,Beginner
34.89,173,0,4,2,3,Beginner
92.95,204,0,3,0,4,Intermediate
